,date,contributors,total_changes
0,2024-02-29 00:00:00+00:00,9,32353
1,2024-03-31 00:00:00+00:00,12,36678
2,2024-04-30 00:00:00+00:00,17,14444
3,2024-05-31 00:00:00+00:00,18,8633
4,2024-06-30 00:00:00+00:00,21,11108
5,2024-07-31 00:00:00+00:00,25,5030
6,2024-08-31 00:00:00+00:00,16,6733
7,2024-09-30 00:00:00+00:00,9,8059
8,2024-10-31 00:00:00+00:00,17,13530
9,2024-11-30 00:00:00+00:00,15,2116
10,2024-12-31 00:00:00+00:00,14,6353
11,2025-01-31 00:00:00+00:00,19,5406
12,2025-02-28 00:00:00+00:00,12,6726
13,2025-03-31 00:00:00+00:00,17,2577
14,2025-04-30 00:00:00+00:00,17,5008
15,2025-05-31 00:00:00+00:00,6,1462
16,2025-06-30 00:00:00+00:00,17,5048
17,2025-07-31 00:00:00+00:00,12,3356
18,2025-08-31 00:00:00+00:00,10,1082
19,2025-09-30 00:00:00+00:00,20,38659
20,2025-10-31 00:00:00+00:00,7,11924
21,2025-11-30 00:00:00+00:00,13,26911
22,2025-12-31 00:00:00+00:00,10,20174
23,2026-01-31 00:00:00+00:00,14,8971
